unit,cycle,sensor_14,sensor_7,sensor_15,sensor_10,sensor_18,sensor_24,sensor_23,sensor_5,sensor_20,sensor_6,RUL
1,177,48.03,1423.99,520.24,551.93,8.4779,23.1673,38.63,643.79,396,1602.02,15
1,178,48.0,1424.65,520.2,552.18,8.477,23.177,38.65,643.38,395,1605.33,14
1,179,48.02,1429.45,520.38,551.57,8.4947,23.1888,38.77,642.86,395,1592.56,13
1,180,47.85,1417.14,519.84,552.91,8.4737,23.007,38.86,643.58,395,1599.87,12
1,181,48.1,1420.64,520.43,551.83,8.472,23.1652,38.34,643.44,397,1596.71,11
1,182,47.98,1426.62,520.46,551.9,8.5158,23.1787,38.43,644.21,397,1602.08,10
1,183,48.03,1419.03,520.05,551.38,8.5041,23.1302,38.56,643.24,396,1597.23,9
1,184,48.07,1432.52,519.77,551.0,8.5133,23.0146,38.43,644.07,395,1605.44,8
1,185,48.15,1424.4,519.82,551.64,8.4984,23.07,38.51,643.8,395,1603.46,7
1,186,48.12,1426.3,520.08,552.57,8.5227,23.0564,38.47,643.51,397,1595.16,6
1,187,48.23,1427.27,519.53,551.08,8.5218,23.0822,38.42,643.32,396,1592.1,5
1,188,48.0,1422.78,519.79,551.94,8.5207,22.9588,38.51,643.75,396,1602.38,4
1,189,48.08,1428.01,519.58,550.7,8.5183,23.1127,38.48,644.18,395,1596.17,3
1,190,48.33,1425.95,520.04,551.29,8.5223,23.0675,38.49,643.64,398,1599.22,2
1,191,48.15,1425.77,519.57,550.92,8.5174,23.1295,38.45,643.34,394,1602.36,1
1,192,48.25,1427.2,520.08,551.25,8.5113,22.9649,38.48,643.54,396,1601.41,0
2,1,46.93,1391.28,522.33,554.53,8.3905,23.4585,38.94,641.89,391,1583.84,286
2,2,47.24,1393.13,522.7,554.77,8.4167,23.4085,39.06,641.82,392,1587.05,285
2,3,47.22,1398.96,522.58,555.14,8.3802,23.425,39.11,641.55,391,1588.32,284
2,4,47.1,1396.08,522.49,554.25,8.4018,23.5027,39.13,641.68,391,1584.15,283
2,5,47.25,1402.52,522.27,555.12,8.3867,23.4234,39.18,641.73,390,1579.03,282
2,6,47.05,1396.76,522.8,554.98,8.38,23.427,39.15,641.3,392,1577.5,281
2,7,47.1,1400.65,522.14,554.84,8.3941,23.4718,39.1,642.03,391,1587.49,280
2,8,47.2,1395.39,522.77,554.65,8.3861,23.4381,39.11,642.55,391,1590.41,279
2,9,47.14,1395.01,522.4,554.69,8.3868,23.4875,39.06,641.98,390,1581.99,278
2,10,47.21,1394.86,521.99,554.63,8.3982,23.6005,39.2,641.99,391,1586.37,277
2,11,47.21,1401.29,522.2,554.7,8.4188,23.3888,39.23,642.26,392,1589.21,276
2,12,47.13,1401.9,521.94,554.57,8.3925,23.4201,39.12,641.64,392,1579.99,275
2,13,47.03,1401.53,522.33,554.69,8.3742,23.4317,38.88,641.78,391,1586.77,274
2,14,47.12,1395.46,523.07,554.47,8.3887,23.4074,38.93,641.66,391,1584.04,273
2,15,47.17,1402.11,521.96,554.17,8.3704,23.4311,38.94,642.21,393,1579.84,272
2,16,47.24,1393.46,522.49,554.53,8.3805,23.4462,39.01,641.81,392,1581.99,271
2,17,47.13,1390.27,522.71,553.62,8.3714,23.5245,39.04,642.43,391,1583.58,270
2,18,47.22,1400.25,522.92,554.83,8.4053,23.4203,39.0,641.95,391,1588.43,269
2,19,47.14,1401.77,522.38,555.25,8.4035,23.4102,39.1,641.75,392,1576.84,268
2,20,47.14,1394.38,522.54,554.64,8.3698,23.3821,39.02,642.34,391,1582.94,267
2,21,47.04,1392.28,522.58,554.72,8.3954,23.5014,39.24,642.05,391,1579.51,266
2,22,47.17,1397.67,521.73,554.35,8.3792,23.4241,38.98,642.16,391,1580.18,265
2,23,47.21,1387.5,522.26,554.69,8.3937,23.2867,39.1,642.37,393,1580.89,264
2,24,47.15,1398.67,522.25,553.5,8.3866,23.3981,39.18,641.99,391,1580.97,263
2,25,47.19,1396.62,522.31,554.14,8.3959,23.4883,38.99,641.81,391,1585.38,262
2,26,47.12,1392.3,522.8,554.03,8.3472,23.4691,38.96,641.87,391,1575.38,261
2,27,47.03,1402.31,522.11,555.16,8.4077,23.4275,38.96,642.12,392,1585.44,260
2,28,46.99,1397.45,522.68,554.77,8.3734,23.4395,38.95,642.04,390,1581.6,259
2,29,47.11,1398.08,522.26,554.75,8.37,23.4249,38.97,642.08,390,1583.78,258
2,30,47.2,1395.07,522.43,554.62,8.419,23.3985,39.1,641.78,391,1590.32,257
2,31,47.05,1390.94,522.17,554.8,8.4393,23.4154,39.17,641.97,391,1579.86,256
2,32,47.12,1391.11,522.54,554.56,8.3783,23.4006,38.97,641.58,390,1584.52,255
2,33,47.09,1396.15,522.26,553.62,8.4102,23.4434,39.01,641.79,392,1585.17,254
2,34,47.22,1394.24,522.64,555.09,8.4188,23.4571,38.87,642.12,390,1584.08,253
2,35,47.25,1392.55,522.0,554.73,8.4164,23.5283,39.06,641.37,394,1575.73,252
2,36,47.21,1397.13,522.32,554.59,8.3709,23.3881,39.12,641.27,391,1581.56,251
2,37,47.16,1396.29,522.69,555.01,8.3609,23.4047,39.08,642.1,391,1585.63,250
2,38,47.22,1397.75,522.13,554.21,8.4069,23.4191,39.09,642.22,390,1585.15,249
2,39,47.2,1391.49,522.79,554.05,8.3755,23.4489,39.02,642.0,391,1585.69,248
2,40,47.22,1398.38,522.3,554.07,8.401,23.4402,38.84,642.02,391,1582.69,247
2,41,47.26,1398.74,522.22,554.34,8.3856,23.3071,38.94,642.41,392,1578.97,246
2,42,47.14,1392.13,522.87,553.98,8.3449,23.4631,39.08,642.27,392,1579.21,245
2,43,47.08,1391.6,522.9,554.14,8.4144,23.4966,38.92,642.02,392,1580.59,244
2,44,47.22,1398.69,522.77,554.16,8.4087,23.4546,39.03,642.01,392,1584.33,243
2,45,47.17,1397.6,522.27,554.2,8.3847,23.4284,38.99,642.05,390,1586.41,242
2,46,47.19,1392.6,522.08,554.54,8.3994,23.5041,38.93,642.15,390,1575.45,241
2,47,47.03,1396.46,522.73,554.96,8.3756,23.3447,38.89,642.4,391,1583.85,240
2,48,47.18,1397.95,522.41,554.67,8.3821,23.4336,39.23,642.09,392,1586.71,239
2,49,47.18,1396.5,522.83,554.04,8.4024,23.4871,39.17,642.85,390,1583.86,238
2,50,47.16,1399.78,522.16,554.73,8.4042,23.353,39.1,642.02,391,1577.86,237
2,51,47.03,1393.06,522.34,555.02,8.3731,23.3239,38.9,642.03,392,1585.34,236
2,52,47.09,1401.66,522.58,554.76,8.4064,23.3668,39.08,641.52,392,1588.48,235
2,53,46.98,1397.09,522.73,554.33,8.411,23.5307,38.95,642.0,391,1584.9,234
2,54,47.1,1405.33,522.48,554.42,8.4057,23.3626,39.13,641.58,392,1583.46,233
2,55,47.18,1387.16,522.7,554.54,8.4077,23.3779,39.11,642.33,392,1585.59,232
2,56,47.03,1388.97,522.1,554.72,8.393,23.3796,39.1,641.84,391,1587.04,231
2,57,47.17,1389.62,521.98,553.87,8.4008,23.4544,39.23,642.5,391,1584.13,230
2,58,47.3,1389.91,522.24,554.46,8.3731,23.3861,39.15,642.3,391,1582.93,229
2,59,47.17,1397.95,522.78,554.6,8.4036,23.4347,39.04,642.48,391,1584.24,228
2,60,47.12,1396.84,521.93,554.06,8.4003,23.3928,39.11,642.09,393,1584.57,227
2,61,47.09,1399.71,522.69,555.08,8.4006,23.2745,39.04,642.41,391,1585.45,226
2,62,47.27,1401.66,521.78,554.52,8.4193,23.4442,39.23,641.81,391,1577.87,225
2,63,47.17,1395.05,522.15,554.63,8.3867,23.325,38.98,641.91,392,1575.83,224
2,64,47.11,1401.46,522.18,554.93,8.4144,23.398,39.07,641.66,391,1581.65,223
2,65,47.34,1395.4,522.52,554.28,8.4128,23.3455,38.92,641.7,391,1582.59,222
2,66,47.17,1394.01,522.65,554.11,8.4121,23.426,39.0,642.26,392,1584.6,221
2,67,46.96,1395.44,522.58,554.99,8.3761,23.3933,39.02,642.17,393,1587.63,220
2,68,47.16,1399.27,522.2,554.07,8.4141,23.4076,38.97,642.5,392,1577.16,219
2,69,47.33,1399.73,522.21,554.35,8.4116,23.3783,39.09,642.73,392,1586.47,218
2,70,47.26,1397.3,522.17,554.47,8.4118,23.3894,39.06,641.76,392,1593.24,217
2,71,47.24,1403.09,522.02,555.01,8.3993,23.317,38.92,642.39,392,1586.68,216
2,72,47.19,1393.85,522.4,554.54,8.4012,23.4393,39.12,642.48,392,1583.11,215
2,73,47.15,1400.98,522.95,554.41,8.3896,23.4567,38.94,641.73,390,1586.57,214
2,74,47.25,1396.13,521.97,555.36,8.3932,23.4015,39.07,642.39,391,1584.04,213
2,75,47.09,1390.64,522.54,555.45,8.3944,23.421,38.99,641.64,392,1578.27,212
2,76,46.99,1399.66,522.08,554.05,8.3629,23.4591,38.88,642.01,392,1586.91,211
2,77,46.95,1395.38,522.36,554.06,8.4399,23.4969,39.01,641.97,392,1588.54,210
2,78,47.12,1394.24,522.57,554.83,8.4018,23.5367,38.96,642.44,391,1587.2,209
2,79,47.23,1398.51,522.26,554.19,8.3931,23.2873,39.15,641.62,390,1585.59,208
2,80,47.2,1394.0,523.26,554.94,8.3889,23.4198,38.95,641.37,391,1588.33,207
2,81,47.25,1390.12,522.62,555.25,8.4162,23.4685,39.08,641.72,391,1578.31,206
2,82,47.19,1402.78,522.3,554.17,8.3428,23.4491,39.17,641.86,391,1587.24,205
2,83,47.13,1398.81,523.13,554.18,8.3997,23.4056,39.0,641.73,390,1585.18,204
2,84,47.29,1402.26,522.75,554.86,8.394,23.4055,38.95,642.41,392,1586.46,203
2,85,47.19,1398.33,522.63,554.5,8.3954,23.4072,39.13,641.73,391,1588.31,202
2,86,47.27,1399.12,522.26,554.51,8.3958,23.4982,38.87,641.85,391,1579.31,201
2,87,47.26,1399.51,522.59,554.77,8.3952,23.2916,39.1,642.36,393,1582.64,200
2,88,47.04,1398.17,522.62,554.71,8.3851,23.4173,39.06,642.23,391,1587.88,199
2,89,47.18,1394.07,522.42,554.18,8.4143,23.4148,39.18,641.95,393,1584.62,198
2,90,47.21,1405.34,522.04,554.1,8.3922,23.4878,38.9,642.06,390,1580.77,197
2,91,47.15,1399.47,522.48,553.79,8.4026,23.3972,39.1,642.09,391,1583.57,196
2,92,47.13,1399.17,522.45,554.28,8.3919,23.2772,38.81,642.36,392,1584.87,195
2,93,47.24,1392.48,522.52,553.92,8.4005,23.3075,38.94,642.21,391,1591.68,194
2,94,47.38,1395.39,522.74,554.53,8.4075,23.4165,39.15,642.1,392,1585.62,193
2,95,47.06,1402.79,522.37,553.99,8.3773,23.4318,38.98,642.56,392,1579.26,192
2,96,47.07,1399.59,521.66,554.4,8.3698,23.3285,38.92,642.42,392,1576.94,191
2,97,47.19,1400.5,522.22,554.42,8.4202,23.3578,39.06,642.04,391,1586.12,190
